Water Control Zone,Station,Latitude,Longitude,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),Faecal Coliforms (cfu/100mL),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Total Inorganic Nitrogen (mg/L),Total Nitrogen (mg/L),Turbidity (NTU),Volatile Suspended Solids (mg/L)
Tolo Harbour and Channel,TM2,22.4124,114.218083,5/21/2015,1,Surface Water,1.4,0.13,6.4,4.5,4500,0.018,0,24,0.3,0.55,7.6,1.6
Tolo Harbour and Channel,TM2,22.4124,114.218083,5/21/2015,1,Bottom Water,0.9,0.12,2.3,5.2,1600,0.012,0,29.8,0.2,0.4,4,1.1
Tolo Harbour and Channel,TM2,22.4124,114.218083,6/25/2015,1,Surface Water,2,0.028,7.5,6.8,24000,0.007,1.1,27.4,0.21,0.52,2.6,0
Tolo Harbour and Channel,TM2,22.4124,114.218083,6/25/2015,1,Bottom Water,1.8,0.032,5,6.9,2800,0.003,2.1,28.1,0.16,0.41,2.4,0
Tolo Harbour and Channel,TM2,22.4124,114.218083,7/8/2015,1,Surface Water,1.6,0.033,2.4,4.8,25,0.005,2.2,32.2,0.04,0.22,3,2
Tolo Harbour and Channel,TM2,22.4124,114.218083,7/8/2015,1,Bottom Water,1.5,0.027,2,6.4,2,0.005,1.4,32.2,0.03,0.26,3,5.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,8/12/2015,1,Surface Water,2.2,0.027,4.4,6.8,85,0.005,1.1,32.4,0.03,0.3,2.7,1.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,8/12/2015,1,Bottom Water,2.1,0.047,6.2,6.1,52,0.006,1.9,32.6,0.05,0.63,2.9,1.9
Tolo Harbour and Channel,TM2,22.4124,114.218083,9/18/2015,1,Surface Water,0.9,0.028,1.7,4.6,8,0.004,2.1,32,0.05,0.35,2.5,1.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,9/18/2015,1,Bottom Water,1,0.043,3.4,6.2,9,0.005,2.5,32.3,0.05,0.34,2.5,2.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,10/9/2015,1,Surface Water,1.7,0.039,17,8.5,2400,0.01,1.8,16.7,0.31,0.74,3.9,2.3
Tolo Harbour and Channel,TM2,22.4124,114.218083,10/9/2015,1,Bottom Water,0.6,0.23,2.4,2.5,740,0.017,2.3,32.1,0.25,0.75,3.4,6.1
Tolo Harbour and Channel,TM2,22.4124,114.218083,11/19/2015,1,Surface Water,1.4,0.05,9.2,5.6,250,0.005,1.6,30.7,0.09,0.8,3.1,0
Tolo Harbour and Channel,TM2,22.4124,114.218083,11/19/2015,1,Bottom Water,1.7,0.045,11,8.4,110,0.005,1.5,31.8,0.07,0.52,2.8,0.9
Tolo Harbour and Channel,TM2,22.4124,114.218083,12/18/2015,1,Surface Water,1.9,0.071,8.9,5.8,550,0.004,2.4,29.7,0.14,1.05,3.3,1.7
Tolo Harbour and Channel,TM2,22.4124,114.218083,12/18/2015,1,Bottom Water,2.5,0.052,15,8.1,130,0.004,2,30.6,0.08,0.93,3.3,2
Tolo Harbour and Channel,TM2,22.4124,114.218083,1/14/2016,1,Surface Water,6.6,0.15,41,8,56,0.004,3.2,29,0.18,0.6,3.6,3.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,1/14/2016,1,Bottom Water,5.9,0.15,30,11.5,3,0.005,1.4,30.4,0.16,0.58,3.3,3.9
Tolo Harbour and Channel,TM2,22.4124,114.218083,2/19/2016,1,Surface Water,3.2,0.072,15,8.7,190,0.004,3.8,27.7,0.09,0.78,3,2.5
Tolo Harbour and Channel,TM2,22.4124,114.218083,2/19/2016,1,Bottom Water,2.1,0.061,11,10,57,0.003,1.8,29.7,0.07,0.86,2.9,1.9
Tolo Harbour and Channel,TM2,22.4124,114.218083,3/18/2016,1,Surface Water,0.8,0.11,1,6.1,50,0.005,0.4,29.5,0.18,0.43,0.9,0.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,3/18/2016,1,Bottom Water,0.6,0.12,1,5.3,5,0.006,0.9,29.5,0.18,0.3,0.7,0.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,4/14/2016,1,Surface Water,11,0.13,53,5,3200,0.006,4.9,24.7,0.33,0.91,3.2,6.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,4/14/2016,1,Bottom Water,1.3,0.087,1.2,5.8,810,0,0.9,29.8,0.11,0.35,0.8,0.9
Tolo Harbour and Channel,TM2,22.4124,114.218083,5/11/2016,1,Surface Water,2.3,0,5.2,7,11000,0.034,0.4,23,0.39,0.82,6.1,3.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,5/11/2016,1,Bottom Water,2.5,0.14,5.6,6.7,9300,0.023,0.9,28.7,0.32,0.49,2,1.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,6/13/2016,1,Surface Water,0.6,0.055,1.3,4.7,100,0.005,0,31.1,0.07,0.87,0.7,0.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,6/13/2016,1,Bottom Water,0.7,0.07,0.6,4,90,0.006,0.3,31.1,0.08,0.54,0.7,1
Tolo Harbour and Channel,TM2,22.4124,114.218083,7/18/2016,1,Surface Water,1.6,0.024,8.1,5.5,60,0.002,3.4,32.3,0.03,1.1,2.6,2.3
Tolo Harbour and Channel,TM2,22.4124,114.218083,7/18/2016,1,Bottom Water,2.6,0.036,15,4.1,71,0.014,5.6,32.5,0.06,1.13,2.2,2.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,8/19/2016,1,Surface Water,2.9,0.084,15,6.8,5100,0.005,4.2,23,0.15,0.72,4,2.1
Tolo Harbour and Channel,TM2,22.4124,114.218083,8/19/2016,1,Bottom Water,1.5,0.078,2.1,6.6,1000,0.006,1.2,23.9,0.09,0.98,1,1
Tolo Harbour and Channel,TM2,22.4124,114.218083,9/29/2016,1,Surface Water,2,0.051,5.6,4.7,180,0.005,4.3,29,0.09,0.2,1.7,0.9
Tolo Harbour and Channel,TM2,22.4124,114.218083,9/29/2016,1,Bottom Water,2,0.043,11,4.7,180,0.007,2.2,30.8,0.05,0.42,1.3,0.6
Tolo Harbour and Channel,TM2,22.4124,114.218083,10/13/2016,1,Surface Water,3.2,0.079,6.2,6.2,120,0.005,1.9,25,0.12,0.29,9.5,1.6
Tolo Harbour and Channel,TM2,22.4124,114.218083,10/13/2016,1,Bottom Water,1.9,0.051,2.9,5,58,0.004,1.4,27,0.06,0.82,1.2,1.5
Tolo Harbour and Channel,TM2,22.4124,114.218083,11/10/2016,1,Surface Water,1.4,0.16,6.5,4.6,230,0.011,1.8,28.9,0.31,0.41,1.1,1
Tolo Harbour and Channel,TM2,22.4124,114.218083,11/10/2016,1,Bottom Water,1.2,0.099,5.7,4.4,100,0.009,3.3,27.4,0.2,0.32,0.7,0.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,12/12/2016,1,Surface Water,1.4,0.027,6.8,6.9,11,0,1.6,29.6,0.08,0.3,2.5,1.1
Tolo Harbour and Channel,TM2,22.4124,114.218083,12/12/2016,1,Bottom Water,1.4,0.02,7.7,6.7,14,0,2.3,29.8,0.07,0.51,2.6,1.1
Tolo Harbour and Channel,TM2,22.4124,114.218083,1/18/2017,1,Surface Water,1.1,0.13,0.4,4.9,72,0.003,0.8,29.9,0.19,0.38,0.9,0.5
Tolo Harbour and Channel,TM2,22.4124,114.218083,1/18/2017,1,Bottom Water,0.9,0.1,0.9,4.7,2,0,0.9,30.2,0.11,0.33,0.9,0.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,2/20/2017,1,Surface Water,1,0.016,5.9,7.1,2,0.002,0.8,30,0.02,0.15,2.7,1.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,2/20/2017,1,Bottom Water,0.9,0.031,4,6.9,8,0.002,1.6,30.3,0.04,0.73,3,1.5
